lat,lon,cs2_rfb,is2_fb_wm,is2_fb_mean,is2_fb_std,is2_fb_unc_mean,n_is2,n_strong,n_weak,date,year_month,snow_thickness,snow_thickness_unc
-71.8003909,-36.6651744,0.093,0.008901980645762007,0.008490701,0.021736735,0.020106873,24,24,0,20250312,202503,-0.06659692894264842,0.02868226064420011
-71.82263929999999,-36.674792,0.099,0.10534356465509931,0.12303998,0.22890277,0.020389974,93,93,0,20250312,202503,0.005023446780586457,0.028725156861242933
-71.86157349999999,-36.691668899999996,0.055,0.11125955178340319,0.107905954,0.1651326,0.01854514,410,410,0,20250312,202503,0.04455174332563804,0.027967682926293844
-71.93109729999999,-36.721953299999996,-0.134,0.14247098559730328,0.13474828,0.17308974,0.018137207,1082,1082,0,20250312,202503,0.2189364116290538,0.02867157779697843
-72.2258554,-36.8525007,-0.227,0.13542224914772652,0.13596079,0.19896477,0.015925534,1480,815,665,20250312,202503,0.2870009182030713,0.028490853684268482
-72.2286359,-36.8537491,0.075,0.13080417441613426,0.1347831,0.19854504,0.015928052,1516,820,696,20250312,202503,0.04419113157279334,0.02693660027438783
-72.3231733,-36.8963872,0.2,0.181142085821215,0.1428481,0.24100472,0.0152395945,946,540,406,20250312,202503,-0.014933516629934992,0.026650893598126873
-72.3342949,-36.901427999999996,0.17,0.21719990562679362,0.15265426,0.26371205,0.01467216,640,387,253,20250312,202503,0.037377441053478025,0.026474230319722278
-72.3648796,-36.9153173,0.11900000000000001,0.274360489127874,0.26922503,0.32497817,0.019339453,190,155,35,20250312,202503,0.12302943082835788,0.028550991514557852
-72.3871226,-36.9254435,0.091,0.22849539331622096,0.22872613,0.15891205,0.019427888,109,79,30,20250312,202503,0.1088821236092574,0.02852704399001594
-72.8180344,-37.1258912,-0.211,0.2204766861505376,0.24601081,0.3055323,0.01719717,3376,1759,1617,20250312,202503,0.3416848866194933,0.029580281393687197
-72.8208142,-37.1272114,-0.2,0.22242276371429262,0.24894321,0.30729756,0.01736749,3299,1723,1576,20250312,202503,0.3345151169415768,0.029554831120617717
-73.09321229999999,-37.258334399999995,0.053,0.459974228049792,0.43971446,0.43034253,0.020578511,3870,1953,1917,20250312,202503,0.3222814752955934,0.0306803622319899
-73.1404608,-37.2814388,0.129,0.4025837603067998,0.38971528,0.3872721,0.0205059,4002,2032,1970,20250312,202503,0.21665002796639993,0.029637688466418365
-73.22383789999999,-37.3224764,-0.233,0.46290883471464767,0.4876238,0.52685356,0.019001251,3837,1946,1891,20250312,202503,0.5510877850860723,0.03341162259886695
-73.2460708,-37.3334773,-0.382,0.7000159723455995,0.6293995,0.57915306,0.019880047,3796,1929,1867,20250312,202503,0.8568446840773216,0.03999000515971249
-73.2599664,-37.340365299999995,-0.108,0.7376257471331034,0.6461452,0.58175486,0.01978469,3751,1914,1837,20250312,202503,0.6696480871527124,0.03592393055724848
-73.27942,-37.350024499999996,0.031,0.7071802090670147,0.6204482,0.56953347,0.01996079,3824,1966,1858,20250312,202503,0.5354647550732339,0.033490077639229086
-73.28219899999999,-37.351406,-0.318,0.7060566355880139,0.62450534,0.56707054,0.02015924,3834,1971,1863,20250312,202503,0.810946886944321,0.03904047890609216
-73.2849781,-37.3527878,-0.34,0.6992304223939481,0.61960816,0.5681139,0.020083608,3860,1982,1878,20250312,202503,0.8229629559250797,0.03928479473424805
-73.2877571,-37.354169999999996,-0.914,0.680850975999898,0.5949833,0.5610702,0.020037772,3863,1982,1881,20250312,202503,1.26295693927572,0.050258561379178196
-73.30443149999999,-37.3624714,0.082,0.4756831185120188,0.50178385,0.50750023,0.019557321,3789,1957,1832,20250312,202503,0.3117562918935014,0.030140154718271465
-73.3072105,-37.3638562,-0.012,0.4341104816526988,0.4771445,0.4961489,0.019413697,3763,1937,1826,20250312,202503,0.35327333836546854,0.030569823962331526
-73.31832659999999,-37.369399699999995,-0.075,0.32992646928984243,0.40680864,0.47114006,0.018543666,3716,1918,1798,20250312,202503,0.32065986225791165,0.029836975651283303
-73.6684403,-37.547252,0.049,0.2537259372426719,0.25881317,0.20031826,0.019827029,3005,1582,1423,20250312,202503,0.1621217574439849,0.02896693468939132
-73.6712187,-37.5486891,-0.017,0.2490346291207688,0.2498601,0.19851209,0.019756345,3024,1589,1435,20250312,202503,0.21067189724423444,0.02926993783166529
-73.79623939999999,-37.613791299999995,-0.487,0.19845392164106607,0.21695392,0.20986275,0.016544804,3672,1846,1826,20250312,202503,0.5428085757966112,0.03243258048112658
-73.8656907,-37.6503273,0.027,0.2574759138975797,0.246987,0.14268105,0.016554346,4218,2119,2099,20250312,202503,0.1825130743707055,0.02778400030055122
-73.8712467,-37.6532616,-0.417,0.2689891623336896,0.24846797,0.14160678,0.01639389,4233,2126,2107,20250312,202503,0.5432324310389531,0.03239210489395926
-73.87680259999999,-37.6561977,0.085,0.2760815407187913,0.2486702,0.14177284,0.01638777,4243,2131,2112,20250312,202503,0.15131680730670913,0.027519929076842385
-73.8823585,-37.6591355,-0.376,0.2743608879646721,0.25087047,0.1521885,0.01659522,4227,2125,2102,20250312,202503,0.5150185245198446,0.031959495233230426
-73.8851365,-37.6606051,-0.281,0.27142140541935755,0.25225082,0.15377088,0.016734937,4213,2116,2097,20250312,202503,0.4374605890317793,0.030743225153895524
-73.8879145,-37.662075,-0.092,0.26754693923436934,0.25031263,0.15511546,0.016679507,4200,2111,2089,20250312,202503,0.28472397028612495,0.028735858093445806
-73.9101379,-37.6738503,-0.47000000000000003,0.2835578713185983,0.26345018,0.16139725,0.016321544,4125,2068,2057,20250312,202503,0.596739856606969,0.0333638550251766
-73.9129158,-37.6753242,-0.3,0.2862657328777457,0.26568708,0.1632372,0.016449967,4073,2044,2029,20250312,202503,0.46426179419885927,0.031066387905004385
-73.91569369999999,-37.6767985,-0.148,0.2882864238356251,0.26736686,0.16567314,0.016538484,4025,2024,2001,20250312,202503,0.3454937011588385,0.029391557787230876
-73.9184716,-37.6782732,-0.125,0.2896653739153757,0.26761287,0.16709663,0.016569583,3990,2006,1984,20250312,202503,0.32837206694841586,0.029191473055801925
-73.9240274,-37.6812239,-0.302,0.2907965398371463,0.26739973,0.16636759,0.016641796,3937,1976,1961,20250312,202503,0.46943351750879053,0.03121341441635283
-73.92680519999999,-37.682699899999996,-0.171,0.2900437494682575,0.2673377,0.16417257,0.016781798,3907,1962,1945,20250312,202503,0.36509894119453434,0.029730132134182925
-73.93236089999999,-37.685653099999996,-0.176,0.2888133433318908,0.26900762,0.16844025,0.016978616,3829,1924,1905,20250312,202503,0.36808406946041633,0.029839464355536378
-73.93513879999999,-37.6871304,-0.251,0.28819623133239536,0.27040341,0.16879912,0.017013418,3789,1902,1887,20250312,202503,0.4269876196837896,0.030681187689457164
-73.9379167,-37.6886082,-0.229,0.2863654295780897,0.26811093,0.16867566,0.016909169,3779,1898,1881,20250312,202503,0.4081160906838875,0.03036815430268936
-73.94069449999999,-37.6900864,-0.221,0.28859540400723904,0.2718649,0.16902429,0.016983617,3749,1883,1866,20250312,202503,0.40354682750872756,0.030328728725764188
-73.94347239999999,-37.691565,-0.14100000000000001,0.2904683774572353,0.27432495,0.1690004,0.017005313,3739,1878,1861,20250312,202503,0.3416783069941739,0.029510561698129576
-73.9462503,-37.693044,-0.02,0.29132098975211423,0.27493966,0.17069753,0.017049514,3715,1864,1851,20250312,202503,0.24653400867319855,0.028492600115728524
-73.94902809999999,-37.694523499999995,-0.156,0.29071057115018645,0.2726225,0.1707818,0.017131025,3666,1844,1822,20250312,202503,0.353748547150768,0.02970794195802886
-73.95180599999999,-37.696003399999995,-0.07200000000000001,0.2914471292121642,0.27261063,0.1704274,0.01716515,3609,1815,1794,20250312,202503,0.28781251716045686,0.028947405460176292
-73.9545838,-37.6974838,-0.154,0.2936401918228222,0.27559128,0.17154895,0.017302038,3557,1790,1767,20250312,202503,0.35448471052720093,0.029779412116954396
-73.9573616,-37.6989646,0.002,0.2902909048184268,0.26858914,0.17321362,0.017132124,3584,1805,1779,20250312,202503,0.22829656453778382,0.028360478049047046
-74.0295823,-37.7376177,-0.325,0.3048711023974554,0.28072387,0.16147192,0.016757237,3089,1611,1478,20250312,202503,0.4987927346148264,0.0317358680860366
-74.03236,-37.7391103,0.075,0.3087624492351709,0.2809503,0.15971418,0.016755912,3120,1625,1495,20250312,202503,0.1851156702704154,0.027878069065323006
-74.0351376,-37.7406033,0.171,0.3116631445589709,0.2832751,0.1564061,0.01674701,3143,1635,1508,20250312,202503,0.11139065479752219,0.02745119412379523
-74.0379153,-37.7420968,0.132,0.31360242599553323,0.28701264,0.15622756,0.016753748,3181,1652,1529,20250312,202503,0.14381032933598603,0.027614814904201063
-74.0406929,-37.7435907,0.185,0.3132184501766709,0.28505805,0.154735,0.016702292,3260,1685,1575,20250312,202503,0.10153574461230103,0.027393079413149394
-74.0434705,-37.745084999999996,0.211,0.3174848055648307,0.29058352,0.15189452,0.016816964,3263,1682,1581,20250312,202503,0.08432494705733395,0.027374484543000354
-74.0462482,-37.7465798,0.256,0.32290949498141147,0.29865324,0.14620261,0.017023806,3289,1691,1598,20250312,202503,0.05298539629210659,0.02737040786320175
-74.0490258,-37.7480751,0.233,0.32619494757881995,0.30390728,0.14117208,0.017307507,3348,1712,1636,20250312,202503,0.07380075475472835,0.0275331791016497
-74.05180349999999,-37.7495708,0.145,0.326928805204836,0.30510545,0.13941915,0.017321527,3440,1753,1687,20250312,202503,0.14406878789633265,0.02783505705877467
-74.0545811,-37.7510669,0.111,0.32590740038107474,0.30274734,0.13848905,0.01729424,3499,1773,1726,20250312,202503,0.17018442268113285,0.027982048674729566
-74.0573588,-37.7525635,0.101,0.3256622625800988,0.3032693,0.13526583,0.017227132,3509,1777,1732,20250312,202503,0.17790926411856667,0.028007580697717152
-74.06013639999999,-37.7540605,0.121,0.3248443367629398,0.3050021,0.1393404,0.017222436,3540,1790,1750,20250312,202503,0.1614236210912461,0.02789850916441813
-74.06291399999999,-37.755558,0.05,0.32269946764728696,0.3046681,0.13948514,0.017218161,3551,1796,1755,20250312,202503,0.21594975968585908,0.028289408853137344
-74.0656916,-37.7570559,0.031,0.32165410072035505,0.30549923,0.13446733,0.017136373,3565,1802,1763,20250312,202503,0.23016797115076656,0.028378295595227473
-74.0879121,-37.769055099999996,0.048,0.30786106348834336,0.29683474,0.12670437,0.017797763,3557,1781,1776,20250312,202503,0.20578307209826274,0.028432761241437524
-74.1017997,-37.776568999999995,0.031,0.28543989830345917,0.28795812,0.12251432,0.017920656,3346,1689,1657,20250312,202503,0.20149007024903548,0.02844820713893374
-74.2073399,-37.8340417,-0.216,0.31299038321867195,0.33377588,0.17475533,0.017826444,3346,1716,1630,20250312,202503,0.41890564406952274,0.030850774323709435
-74.2101172,-37.8355629,-0.37,0.31118542100435304,0.3317958,0.17486162,0.017715951,3427,1748,1679,20250312,202503,0.5394283649928654,0.03275840461390126
-74.27121509999999,-37.8691465,0.047,0.37509569575547236,0.3599333,0.19340119,0.017833106,3537,1789,1748,20250312,202503,0.2598178399966667,0.028916762931941474
-74.2739922,-37.8706783,0.057,0.3818925748213589,0.36824176,0.20017496,0.017896587,3498,1768,1730,20250312,202503,0.2572812996728652,0.02891704647513083
-74.27676939999999,-37.872210599999995,-0.169,0.38516116292852465,0.37324518,0.20011173,0.017935384,3449,1750,1699,20250312,202503,0.43883829695052834,0.031185570621656413
-74.2823236,-37.8752765,0.013000000000000001,0.3865430178837948,0.38407418,0.19787161,0.017957784,3301,1691,1610,20250312,202503,0.2958074162750885,0.029332779813206082
-74.2851007,-37.8768102,0.05,0.3841150836962654,0.38509983,0.19744726,0.01810387,3193,1642,1551,20250312,202503,0.2645845723650317,0.029068205030374047
-74.290655,-37.879878999999995,0.024,0.3880229278620054,0.39551252,0.19285221,0.018358774,3059,1589,1470,20250312,202503,0.2882684901080149,0.029407894693378654
-74.3767414,-37.927682,0.038,0.32582455144149447,0.35084832,0.175625,0.019929433,738,488,250,20250312,202503,0.22792726092107315,0.02948133693534596
-74.4711513,-37.9806312,-0.162,0.3440446764395185,0.34795138,0.08987605,0.02040273,42,34,8,20250312,202503,0.40073501870112493,0.03158431120310894
-74.5239067,-38.0104612,-0.762,0.25468079841799374,0.2444587,0.14554693,0.017483216,343,208,135,20250312,202503,0.8051059871505304,0.03809031306645969
-74.54056589999999,-38.0199175,-0.11,0.2564126548571403,0.25256053,0.15477532,0.0170252,684,401,283,20250312,202503,0.2901609066014042,0.02892069432003976
-74.56277759999999,-38.032553,-0.165,0.25641983373473126,0.22981787,0.17065573,0.016171994,1280,715,565,20250312,202503,0.3337209001800385,0.02911657190669334
-74.5655541,-38.0341346,0.137,0.2627860491743843,0.23284271,0.16894384,0.01619743,1354,752,602,20250312,202503,0.09960953472111476,0.02719465904909358
-74.5683305,-38.0357167,0.139,0.26869749571172524,0.23511143,0.16918574,0.016154952,1402,777,625,20250312,202503,0.10270699562578868,0.027191163958822442
-74.571107,-38.0372993,0.301,0.2756533523519835,0.24534896,0.1825761,0.016296605,1456,805,651,20250312,202503,-0.020071922089378375,0.02704379311657115
-74.5738834,-38.0388824,0.138,0.2776278922995474,0.25228038,0.18537462,0.016471623,1506,832,674,20250312,202503,0.11057084213501306,0.027342938390829016
-74.5766599,-38.040465999999995,0.148,0.2760525292375001,0.25563073,0.18401359,0.016467256,1553,856,697,20250312,202503,0.10140435239782439,0.02730317430733162
-74.5960947,-38.051564899999995,-0.272,0.29948007337480476,0.28934106,0.19090967,0.017124632,1794,982,812,20250312,202503,0.4525530818790141,0.031109785449161625
-74.6988155,-38.1106317,-0.254,0.24984206598797024,0.24624309,0.21571477,0.016200371,2478,1320,1158,20250312,202503,0.39899077914760794,0.029993555509146983
-74.70436769999999,-38.1138439,-0.28800000000000003,0.2461875596087089,0.23300733,0.20973875,0.015900664,2414,1289,1125,20250312,202503,0.42302126997138595,0.030244895948270085
-74.7099199,-38.1170581,-0.255,0.24987863626445567,0.2396355,0.20903972,0.015901322,2411,1288,1123,20250312,202503,0.39981163554324295,0.02990478351389695
-74.75156059999999,-38.1412289,-0.101,0.2671306008046732,0.29529297,0.21509022,0.016582238,3176,1624,1552,20250312,202503,0.29152134202037927,0.02877358597475011
-74.80707869999999,-38.1736339,0.073,0.3179165361770017,0.3565808,0.2051431,0.01724332,2413,1442,971,20250312,202503,0.1939485529136592,0.028127703238193476
-74.8098545,-38.1752594,0.059000000000000004,0.3196621359243173,0.35127282,0.2016865,0.017031476,2308,1408,900,20250312,202503,0.20641743857331318,0.028141880354302585
-74.8181821,-38.1801393,0.135,0.31566003677899374,0.32606438,0.20705217,0.016833987,1940,1267,673,20250312,202503,0.14306405459405852,0.027641247832449336
-74.82373369999999,-38.1833952,0.088,0.31273761668118455,0.31139815,0.2121236,0.016748864,1690,1157,533,20250312,202503,0.17796893676905334,0.027825477811740423
-74.8265095,-38.185023799999996,0.095,0.3125370713365498,0.30618152,0.2130948,0.016705815,1596,1124,472,20250312,202503,0.17226684996193053,0.027770728960689772
-74.8348369,-38.189913,0.037,0.33581541249030306,0.32500458,0.22687349,0.016511535,1296,1017,279,20250312,202503,0.23663088554750905,0.028202429443370414
-74.8653698,-38.207879299999995,-0.064,0.37534403054037824,0.3913219,0.2527213,0.017369037,666,666,0,20250312,202503,0.3479150092706656,0.029720763183997852
-74.8681455,-38.2095157,-0.14300000000000002,0.37030857146308044,0.38638452,0.25761282,0.017325884,631,631,0,20250312,202503,0.4064872718985914,0.030491784344198566
-74.87647249999999,-38.2144281,-0.131,0.3549120301836579,0.3648354,0.2554891,0.017411143,532,532,0,20250312,202503,0.38479204617425217,0.03021927986427293
-74.8820239,-38.217705599999995,-0.243,0.3506932779088446,0.3545732,0.26264283,0.017568592,462,462,0,20250312,202503,0.4701436412679424,0.03154164400584889
-74.8931264,-38.2242667,0.134,0.3513518835164793,0.33711192,0.26891017,0.01815333,333,333,0,20250312,202503,0.17212020037150044,0.028333764346484297
-74.8986776,-38.2275505,-0.063,0.3796768346132215,0.3708699,0.26188147,0.018563278,300,300,0,20250312,202503,0.3505542452208488,0.030202809715835836
-75.2997117,-45.036738299999996,-0.357,0.5490911628394114,0.498859,0.4876128,0.01849029,3011,1571,1440,20250315,202503,0.71753043948635,0.036478175697311696
-75.2969361,-45.0384586,-0.335,0.5512966370801644,0.49649844,0.49606815,0.018070325,2780,1496,1284,20250315,202503,0.7018552234043964,0.036016382696462894
-75.29416049999999,-45.0401783,-0.261,0.5527667033202333,0.49711505,0.4990937,0.01773624,2614,1339,1275,20250315,202503,0.644419021197552,0.03473893570423045
-75.2913849,-45.0418975,-0.14100000000000001,0.54396877560741,0.48492327,0.5011976,0.017223898,2592,1300,1292,20250315,202503,0.5424243903404222,0.03264668604656143
-75.28860929999999,-45.043616199999995,-0.043000000000000003,0.5320557509546934,0.47062886,0.4915815,0.017132875,2604,1311,1293,20250315,202503,0.45538464851444954,0.031156885849269105
-75.2858337,-45.0453342,0.109,0.5281935318651115,0.47217605,0.49120107,0.017175522,2599,1311,1288,20250315,202503,0.3319578994749752,0.029453400763603765
-75.28305809999999,-45.0470517,-0.032,0.5300478765514366,0.4846539,0.49624503,0.017308809,2576,1305,1271,20250315,202503,0.44508375802998257,0.031058153642636952
-75.28028239999999,-45.0487687,0.069,0.5249318460203802,0.48728463,0.49539322,0.0172842,2549,1292,1257,20250315,202503,0.36105084263889564,0.029857370728794998
-75.2775068,-45.050484999999995,0.171,0.5100222918370527,0.4758176,0.48125568,0.017162288,2530,1285,1245,20250315,202503,0.26847057341913766,0.02874643365988562
-75.2747311,-45.052200899999995,0.063,0.5010068215439991,0.47560656,0.48418117,0.01695997,2504,1274,1230,20250315,202503,0.3468560781186938,0.029558904861946723
-75.2441989,-45.071037399999994,0.082,0.44558828442074305,0.4618485,0.4902568,0.01672862,2113,1080,1033,20250315,202503,0.2879242974790398,0.02878789488982724
-67.9878891,-49.1915573,-0.106,0.18921917515996148,0.1892039,0.08279229,0.014221705,699,383,316,20250315,202503,0.23378303771721898,0.027382650193868548
-67.9906724,-49.192449499999995,-0.195,0.18596184296807516,0.18594857,0.080715254,0.0138786705,771,412,359,20250315,202503,0.3016823580486234,0.027977428853408905
-68.01015579999999,-49.1986996,-0.069,0.16606523943938287,0.16636983,0.06917228,0.01393538,1045,537,508,20250315,202503,0.18614734530061589,0.026894458148028738
-68.0268559,-49.2040635,0.12,0.16610025132511788,0.16619585,0.07105067,0.014169092,911,498,413,20250315,202503,0.03650662863776939,0.02630051774367881
-68.0324226,-49.205852799999995,0.108,0.16666435675969626,0.16644198,0.07190228,0.014409734,889,502,387,20250315,202503,0.046456100019848894,0.02639914305325151
-68.035206,-49.2067477,0.039,0.15886901561749792,0.1566042,0.07402695,0.01424913,897,509,388,20250315,202503,0.0949238564332661,0.026483456124487208
-68.0491229,-49.2112249,-0.096,0.16199226142865755,0.16272837,0.08165433,0.014441215,967,560,407,20250315,202503,0.20430317424891464,0.027201321050854252
-68.0519063,-49.2121208,0.016,0.1627838110020548,0.16409132,0.08101031,0.014362822,998,577,421,20250315,202503,0.11623758925949501,0.026612734026597442
-68.0546896,-49.2130169,0.077,0.16296435431012807,0.16467881,0.07850952,0.014138976,1055,607,448,20250315,202503,0.06807487310108393,0.02635756918088682
-68.057473,-49.2139132,-0.019,0.1635552807379021,0.16590029,0.07784631,0.013950062,1109,633,476,20250315,202503,0.1445648916914074,0.026623825095517948
-68.09643969999999,-49.2264789,0.093,0.1749409642383601,0.17553796,0.09146282,0.0149212675,2020,1055,965,20250315,202503,0.06488876450095808,0.02661810619725004
-68.1020063,-49.228276699999995,0.037,0.17298486748865458,0.1696993,0.09248959,0.014722099,2108,1092,1016,20250315,202503,0.10768594346165201,0.026697151870571027
-68.1187064,-49.2336743,-0.594,0.18366851156453975,0.18610829,0.0974651,0.01482339,3197,1637,1560,20250315,202503,0.6158329887348164,0.03329718957685517
-68.1214897,-49.2345745,-0.708,0.18429422612708896,0.18704441,0.09607589,0.014830676,3336,1698,1638,20250315,202503,0.7066046933045471,0.035178247207073236
-68.124273,-49.2354748,-0.046,0.18448052129591389,0.18731269,0.09627509,0.014884245,3442,1749,1693,20250315,202503,0.18251672295341684,0.027185029002306887
-68.1576729,-49.2462927,-0.747,0.18594588002387158,0.20186418,0.0959986,0.015070139,4023,2034,1989,20250315,202503,0.7387965965949393,0.03594266163678019
-68.1632395,-49.2480981,0.082,0.20724981232700634,0.20488985,0.09619715,0.015082254,4105,2074,2031,20250315,202503,0.09918489062728854,0.026787763332629316
-68.1660229,-49.249001,0.093,0.240033859177879,0.20418663,0.09613365,0.015056055,4134,2086,2048,20250315,202503,0.1164356015399919,0.026852861142079392
-68.16880619999999,-49.249904099999995,0.073,0.19429051315500745,0.2058032,0.097369306,0.01499077,4161,2098,2063,20250315,202503,0.09604953538771228,0.02674327669039881
-68.1743729,-49.2517109,0.043000000000000003,0.19216436469868156,0.20736822,0.0994946,0.014969962,4212,2121,2091,20250315,202503,0.11812274144971033,0.0268305659369135
-68.1799396,-49.2535184,0.244,0.2028847783306977,0.20887971,0.09739023,0.014835021,4280,2151,2129,20250315,202503,-0.032559000996659954,0.026524276476990384
-68.1855063,-49.2553266,0.10400000000000001,0.21791294367056144,0.21034692,0.096074305,0.014876999,4335,2176,2159,20250315,202503,0.09020726378015458,0.02668155717816783
-68.1882897,-49.256231,0.11,0.22156588674593072,0.21035938,0.09538186,0.014884537,4395,2206,2189,20250315,202503,0.0883486375671449,0.026677527359230454
-68.191073,-49.2571355,0.139,0.22416106700137794,0.21152876,0.094390966,0.014893788,4427,2221,2206,20250315,202503,0.06743875267598776,0.026615249436519564
-68.1938564,-49.258040199999996,0.012,0.22555542023793262,0.21287018,0.094789006,0.014961721,4491,2244,2247,20250315,202503,0.16911379430942944,0.02711870484803052
-68.19663969999999,-49.258945,-0.041,0.22557080147245584,0.21503733,0.09308763,0.015016068,4549,2273,2276,20250315,202503,0.21109649026414737,0.027450969864908
-68.2049897,-49.2616606,0.091,0.2219103953197421,0.21653631,0.09087512,0.015054429,4633,2314,2319,20250315,202503,0.10366748660559907,0.026796139653464668
