R_km,sector,n_matchups,mean_hs_m,median_hs_m,n_is2_median
3.5,Weddell,41131,0.2211944406164707,0.16459072902991356,1461.0
3.5,Ross,30171,0.18474590961001824,0.13651141234690067,1757.0
5.0,Weddell,47735,0.2181916995747299,0.16235978125312572,2303.0
5.0,Ross,34606,0.18100525331266762,0.13447844820439625,2652.0
7.0,Weddell,54617,0.21573083998517076,0.16038874738322897,3492.0
7.0,Ross,39566,0.18198045375438585,0.13431822218255987,4103.0
