lat,lon,cs2_rfb,is2_fb_wm,is2_fb_mean,is2_fb_std,is2_fb_unc_mean,n_is2,n_strong,n_weak,date,year_month,snow_thickness,snow_thickness_unc
-73.8672191,-48.7710955,-0.273,0.6902704791481177,0.6777017,0.34037906,0.01764006,2314,1222,1092,20230315,202303,0.7628105411396386,0.03719197202001198
-73.83106149999999,-48.790235599999995,0.03,0.589355721338193,0.61391336,0.35154507,0.016940419,2707,1405,1302,20230315,202303,0.44295184968284584,0.030897692139633504
-73.8171545,-48.7975779,0.20400000000000001,0.5672043800326426,0.5890109,0.34633452,0.016721975,3184,1722,1462,20230315,202303,0.28762028492973823,0.028782216048944802
-73.800466,-48.8063746,0.447,0.5560188082359545,0.56523776,0.32678643,0.01686544,4015,2098,1917,20230315,202303,0.08633161495659177,0.027399879178681426
-73.78655859999999,-48.8136935,0.049,0.6015043447993454,0.5775988,0.32029405,0.016388595,4401,2283,2118,20230315,202303,0.4375262684382387,0.03062700379173092
-73.7754327,-48.8195409,-0.906,0.6188653812148152,0.5933962,0.3315282,0.016511751,4609,2392,2217,20230315,202303,1.207535590251092,0.04794104164839712
-73.7392729,-48.8384983,0.092,0.6281831811771735,0.6262665,0.344249,0.01891906,5019,2614,2405,20230315,202303,0.42460159574852047,0.03133843649417395
-73.7364913,-48.839953699999995,-0.007,0.6283964010921861,0.62451875,0.33480093,0.01905258,5041,2622,2419,20230315,202303,0.5031681994282119,0.032609961477338585
-73.725365,-48.8457708,-0.012,0.619429959750783,0.59943694,0.32292816,0.019306567,5106,2651,2455,20230315,202303,0.5000271883295326,0.03265182431670448
-73.7225833,-48.847224,-0.362,0.6167643991711262,0.5945276,0.31573352,0.019355506,5122,2654,2468,20230315,202303,0.7750801225012285,0.03799035330799552
-73.7198018,-48.8486768,-0.269,0.6201746433835557,0.60175884,0.31559134,0.019561086,5135,2652,2483,20230315,202303,0.7041343065832297,0.03654852323388869
-73.6919857,-48.8631816,0.051000000000000004,0.6314471991842237,0.64629054,0.3278976,0.020328632,6494,3391,3103,20230315,202303,0.4596541176101197,0.03240392291629601
-73.6836409,-48.8675249,0.032,0.6294960421445697,0.6396971,0.31342223,0.02002003,6670,3467,3203,20230315,202303,0.4731550370360814,0.03249161594730201
-73.6808592,-48.8689718,0.133,0.6318534774709194,0.6370693,0.3065231,0.019867547,6742,3494,3248,20230315,202303,0.3950403332566678,0.03129210699466256
-73.6697326,-48.8747553,0.07,0.647544042757642,0.6456288,0.28817537,0.019761743,6894,3559,3335,20230315,202303,0.45735511813623125,0.03214813362348443
-73.6613876,-48.8790887,0.314,0.6555963248491645,0.6314094,0.28234676,0.019661421,6924,3558,3366,20230315,202303,0.27050894120615504,0.029753074498575827
-73.6586059,-48.8805323,0.277,0.6671779721913704,0.6310715,0.28253794,0.019671932,6915,3559,3356,20230315,202303,0.30898057871687423,0.0301562851488309
-73.65582409999999,-48.881975499999996,0.298,0.6467414838117975,0.6295009,0.27900863,0.019638728,6920,3553,3367,20230315,202303,0.2761671677300645,0.02979935883254613
