lat,lon,cs2_rfb,is2_fb_wm,is2_fb_mean,is2_fb_std,is2_fb_unc_mean,n_is2,n_strong,n_weak,date,year_month,snow_thickness,snow_thickness_unc
-73.8608926,-52.410998899999996,-0.027,0.5117850015555984,0.5095771,0.2728094,0.017316414,2453,1215,1238,20230201,202302,0.42666196825424657,0.03078246664086142
-73.8192364,-52.433010599999996,0.008,0.4808218975561347,0.47675765,0.27256498,0.016178347,3308,1583,1725,20230201,202302,0.3744260156881718,0.029644584643854756
-73.7942418,-52.4461717,-0.065,0.4003943666223365,0.44624472,0.27485135,0.01575553,4443,2215,2228,20230201,202302,0.36854417978269216,0.029421929667893847
-73.7886874,-52.4490917,-0.424,0.3953882601597646,0.43305683,0.25366277,0.015732002,4586,2295,2291,20230201,202302,0.6488707125009152,0.0342184175817017
-73.7859103,-52.4505511,-0.176,0.39139674737928376,0.42347032,0.25134376,0.015618319,4685,2345,2340,20230201,202302,0.44931951022939026,0.03055754395057834
-73.7775786,-52.454926699999994,-0.11900000000000001,0.38357051305669526,0.42206338,0.24930143,0.015781509,4821,2419,2402,20230201,202302,0.39798384080516924,0.029838775720856008
-73.77202419999999,-52.457841699999996,-0.209,0.3710498167533484,0.4176496,0.24945539,0.015803399,4909,2464,2445,20230201,202302,0.459339431845636,0.03077612282185773
-73.7692469,-52.459298499999996,-0.48,0.3713674893419639,0.41372922,0.24723431,0.01579131,4952,2485,2467,20230201,202302,0.6741949528319126,0.03475611041129744
-73.7386968,-52.475296199999995,-0.342,0.466404359979265,0.46910474,0.2539393,0.016250536,5188,2625,2563,20230201,202302,0.6401726001618757,0.03419475928962336
-73.7331422,-52.4781994,-0.117,0.4758858007619559,0.47667322,0.25509793,0.016355135,5187,2631,2556,20230201,202302,0.46950420292460116,0.031119394272107182
-73.7053688,-52.4926903,-0.043000000000000003,0.5197745830692941,0.50832254,0.24308497,0.017073004,6250,3152,3098,20230201,202302,0.4456592343932018,0.030985063947777676
-73.7025915,-52.494137099999996,-0.381,0.5203235470320058,0.50857556,0.23948023,0.017216364,6372,3218,3154,20230201,202302,0.7137549811153957,0.036004717897341255
