lat,lon,cs2_rfb,is2_fb_wm,is2_fb_mean,is2_fb_std,is2_fb_unc_mean,n_is2,n_strong,n_weak,date,year_month,snow_thickness,snow_thickness_unc
-74.0365727,-38.6106196,0.218,0.11657625429045486,0.11656056,0.11624008,0.007879445,134,134,0,20250901,202509,-0.08031711136577958,0.024703009194068773
-74.042121,-38.6135982,0.242,0.1237444870693763,0.12304865,0.11757938,0.00883432,906,535,371,20250901,202509,-0.09364612926903987,0.024954606390637298
-74.0615399,-38.6240375,0.258,0.25137834570172757,0.25126675,0.11877039,0.012348373,1538,787,751,20250901,202509,-0.005243665001518368,0.025691267743360585
-74.064314,-38.6255306,0.249,0.25700237741094323,0.2565507,0.11897978,0.01250442,1623,828,795,20250901,202509,0.006337054830792333,0.025738819350804343
-74.06708809999999,-38.6270241,0.167,0.2603626078374869,0.25935185,0.119147114,0.012516106,1693,862,831,20250901,202509,0.07393352433026276,0.025855102232877705
-74.0698622,-38.628518,0.23,0.26449993824855056,0.26289716,0.123833254,0.012567001,1764,894,870,20250901,202509,0.027320381070885417,0.025772616869742637
-74.0726363,-38.6300124,0.21,0.26604415903186734,0.26359096,0.12208559,0.012614038,1825,928,897,20250901,202509,0.04438117455506603,0.02581243456918597
-74.0754104,-38.631507299999996,0.132,0.27285880452053196,0.2705787,0.12218228,0.012779749,1873,947,926,20250901,202509,0.11154559724036522,0.026079615410335426
-74.0809585,-38.6344983,0.31,0.27748922790443187,0.27421415,0.11856475,0.012794068,1986,1004,982,20250901,202509,-0.02574516731481239,0.025840848184349122
-74.0837325,-38.6359944,0.218,0.27928694311234115,0.27569392,0.11450477,0.01275566,2041,1030,1011,20250901,202509,0.048532917028313305,0.025864036399158092
-74.08650659999999,-38.637491,0.229,0.2865265663835144,0.2844958,0.10494669,0.012882215,2068,1043,1025,20250901,202509,0.04555508777941742,0.025897543011581904
-74.0892806,-38.6389881,0.135,0.28857251760616043,0.28726354,0.09940138,0.012895097,2117,1068,1049,20250901,202509,0.12161354240081387,0.026163328174857805
-74.0920546,-38.6404856,0.258,0.2886830651837698,0.28783792,0.095385455,0.012897093,2165,1092,1073,20250901,202509,0.024297812570102963,0.025871444061164445
-74.0948286,-38.641983499999995,0.079,0.28530795155582994,0.28388378,0.09240062,0.01270862,2217,1116,1101,20250901,202509,0.16337454907461596,0.026349245596029993
-74.1059248,-38.6479798,0.268,0.26531999393753325,0.26171643,0.11097229,0.012697228,2460,1237,1223,20250901,202509,-0.0021222874769044366,0.025797204366233045
-74.1086988,-38.64948,0.179,0.2629852120259077,0.26047856,0.1096327,0.012736952,2491,1252,1239,20250901,202509,0.0665075972118097,0.025901076909195374
-74.11702079999999,-38.6539831,0.3,0.25555398336802454,0.2569404,0.11150336,0.012770144,2573,1296,1277,20250901,202509,-0.03519664593948937,0.02584537305488502
-74.1308907,-38.6614974,0.199,0.2337202123379216,0.23817648,0.11939209,0.012832679,2688,1349,1339,20250901,202509,0.027494815355906543,0.025854782343842517
-74.1336646,-38.6630015,0.14400000000000002,0.2300012699584599,0.2351575,0.119216196,0.012788803,2709,1358,1351,20250901,202509,0.06810410647456529,0.025921538213321087
-74.1364385,-38.6645062,0.12,0.22726765776666352,0.23327543,0.1187994,0.012788614,2727,1367,1360,20250901,202509,0.08494488499235771,0.025974716682556027
-74.1392125,-38.6660112,0.153,0.22457973231695458,0.2302626,0.11437042,0.012710963,2862,1495,1367,20250901,202509,0.0566837409899808,0.025868007940342892
-74.1419864,-38.6675167,0.193,0.22197149376627454,0.22622576,0.11020412,0.012692688,3125,1640,1485,20250901,202509,0.02294242511928715,0.025806643012439776
-74.14753429999999,-38.670529099999996,0.253,0.2125429496246241,0.20988692,0.11661905,0.012508526,3651,1870,1781,20250901,202509,-0.03203779743883207,0.025760598149137188
